sourcedId,givenName,familyName,middleName,email,phone,dateOfBirth,sex,grade,school,schoolCode,schoolName,Address,City,State,ZipCode,ParentName,ParentPhone,ParentEmail,CaseManager,ServiceMinutes,Goals,Notes,Plan,SpeechProvider,MHProvider,OTProvider,ReviewDate,ReevalDate,MeetingDate,MedicalNotes,Vision,Hearing,CAASPP,ELPAC,period1TeacherId,period1Subject,period1Room,period2TeacherId,period2Subject,period2Room,period3TeacherId,period3Subject,period3Room,period4TeacherId,period4Subject,period4Room,period5TeacherId,period5Subject,period5Room,period6TeacherId,period6Subject,period6Room,period7TeacherId,period7Subject,period7Room
123456790,First1,Last1,B,student1@school.edu,555-0101,2008-02-02,F,9,Central High School,CHS,Central High School,101 Main St,Anytown,CA,90210,Parent1,555-0201,parent1@email.com,CaseManager2,90,Goal for student 1,Notes for student 1,Plan 2,Speech2,MH2,OT2,2024-02-15,2024-08-15,2024-02-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,1000345,1Subject,Health,1Room,108,2TeacherId,1000345,2Subject,Spanish,2Room,207,3TeacherId,1000322,3Subject,Calculus,3Room,307,4TeacherId,1000330,4Subject,Drama,4Room,106,5TeacherId,1000328,5Subject,Calculus,5Room,208,6TeacherId,1000345,6Subject,History,6Room,307,7TeacherId,100038,7Subject,Physical Education,7Room,101
123456791,First2,Last2,C,student2@school.edu,555-0102,2008-03-03,M,10,Central High School,CHS,Central High School,102 Main St,Anytown,CA,90210,Parent2,555-0202,parent2@email.com,CaseManager3,120,Goal for student 2,Notes for student 2,Plan 3,Speech3,MH1,OT1,2024-03-15,2024-09-15,2024-03-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,1000340,1Subject,Photography,1Room,204,2TeacherId,100033,2Subject,Physical Education,2Room,303,3TeacherId,1000325,3Subject,Cooking,3Room,208,4TeacherId,1000338,4Subject,Geography,4Room,206,5TeacherId,1000331,5Subject,History,5Room,306,6TeacherId,1000342,6Subject,Art,6Room,308,7TeacherId,100035,7Subject,Algebra,7Room,204
123456792,First3,Last3,D,student3@school.edu,555-0103,2008-04-04,F,11,Central High School,CHS,Central High School,103 Main St,Anytown,CA,90210,Parent3,555-0203,parent3@email.com,CaseManager4,150,Goal for student 3,Notes for student 3,Plan 1,Speech1,MH2,OT2,2024-04-15,2024-10-15,2024-04-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,100038,1Subject,German,1Room,201,2TeacherId,100032,2Subject,Health,2Room,210,3TeacherId,1000315,3Subject,Science,3Room,201,4TeacherId,1000321,4Subject,Psychology,4Room,301,5TeacherId,1000325,5Subject,Music,5Room,307,6TeacherId,1000320,6Subject,Literature,6Room,310,7TeacherId,1000340,7Subject,Algebra,7Room,106
123456793,First4,Last4,E,student4@school.edu,555-0104,2008-05-05,M,8,Central High School,CHS,Central High School,104 Main St,Anytown,CA,90210,Parent4,555-0204,parent4@email.com,CaseManager5,60,Goal for student 4,Notes for student 4,Plan 2,Speech2,MH1,OT1,2024-05-15,2024-11-15,2024-05-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,1000316,1Subject,Algebra,1Room,310,2TeacherId,1000341,2Subject,Government,2Room,107,3TeacherId,1000316,3Subject,Literature,3Room,303,4TeacherId,1000326,4Subject,Photography,4Room,106,5TeacherId,1000321,5Subject,Cooking,5Room,109,6TeacherId,1000330,6Subject,Drama,6Room,204,7TeacherId,1000331,7Subject,Science,7Room,206
123456794,First5,Last5,F,student5@school.edu,555-0105,2008-06-06,F,9,Central High School,CHS,Central High School,105 Main St,Anytown,CA,90210,Parent5,555-0205,parent5@email.com,CaseManager1,90,Goal for student 5,Notes for student 5,Plan 3,Speech3,MH2,OT2,2024-06-15,2024-12-15,2024-06-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,100037,1Subject,Biology,1Room,307,2TeacherId,1000310,2Subject,History,2Room,305,3TeacherId,100037,3Subject,Music,3Room,308,4TeacherId,1000334,4Subject,Math,4Room,104,5TeacherId,1000315,5Subject,Health,5Room,210,6TeacherId,100032,6Subject,Math,6Room,104,7TeacherId,1000311,7Subject,Government,7Room,109
123456795,First6,Last6,G,student6@school.edu,555-0106,2008-07-07,M,10,Central High School,CHS,Central High School,106 Main St,Anytown,CA,90210,Parent6,555-0206,parent6@email.com,CaseManager2,120,Goal for student 6,Notes for student 6,Plan 1,Speech1,MH1,OT1,2024-07-15,2024-13-15,2024-07-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,1000314,1Subject,Music,1Room,309,2TeacherId,1000336,2Subject,Literature,2Room,207,3TeacherId,1000345,3Subject,Physical Education,3Room,201,4TeacherId,100032,4Subject,Computer Science,4Room,307,5TeacherId,1000335,5Subject,Psychology,5Room,309,6TeacherId,1000324,6Subject,Art,6Room,104,7TeacherId,1000316,7Subject,Calculus,7Room,209
123456796,First7,Last7,H,student7@school.edu,555-0107,2008-08-08,F,11,Central High School,CHS,Central High School,107 Main St,Anytown,CA,90210,Parent7,555-0207,parent7@email.com,CaseManager3,150,Goal for student 7,Notes for student 7,Plan 2,Speech2,MH2,OT2,2024-08-15,2024-14-15,2024-08-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,1000310,1Subject,Geography,1Room,207,2TeacherId,1000336,2Subject,History,2Room,309,3TeacherId,1000341,3Subject,French,3Room,109,4TeacherId,1000345,4Subject,Computer Science,4Room,203,5TeacherId,100036,5Subject,Science,5Room,205,6TeacherId,1000337,6Subject,Physical Education,6Room,107,7TeacherId,100036,7Subject,Government,7Room,304
123456797,First8,Last8,I,student8@school.edu,555-0108,2008-09-09,M,8,Central High School,CHS,Central High School,108 Main St,Anytown,CA,90210,Parent8,555-0208,parent8@email.com,CaseManager4,60,Goal for student 8,Notes for student 8,Plan 3,Speech3,MH1,OT1,2024-09-15,2024-15-15,2024-09-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,1000336,1Subject,Geography,1Room,309,2TeacherId,1000315,2Subject,Computer Science,2Room,108,3TeacherId,1000329,3Subject,Chemistry,3Room,202,4TeacherId,1000343,4Subject,History,4Room,104,5TeacherId,1000334,5Subject,French,5Room,110,6TeacherId,1000345,6Subject,Science,6Room,105,7TeacherId,1000319,7Subject,English,7Room,101
123456798,First9,Last9,J,student9@school.edu,555-0109,2008-10-10,F,9,Central High School,CHS,Central High School,109 Main St,Anytown,CA,90210,Parent9,555-0209,parent9@email.com,CaseManager5,90,Goal for student 9,Notes for student 9,Plan 1,Speech1,MH2,OT2,2024-10-15,2024-16-15,2024-10-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,1000310,1Subject,Grammar,1Room,206,2TeacherId,1000319,2Subject,French,2Room,204,3TeacherId,1000333,3Subject,Drama,3Room,208,4TeacherId,1000316,4Subject,Geography,4Room,110,5TeacherId,100000,5Subject,Writing,5Room,305,6TeacherId,100035,6Subject,Photography,6Room,308,7TeacherId,1000343,7Subject,Psychology,7Room,101
123456799,First10,Last10,K,student10@school.edu,555-0110,2008-11-11,M,10,Central High School,CHS,Central High School,110 Main St,Anytown,CA,90210,Parent10,555-0210,parent10@email.com,CaseManager1,120,Goal for student 10,Notes for student 10,Plan 2,Speech2,MH1,OT1,2024-11-15,2024-17-15,2024-11-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,100039,1Subject,English,1Room,210,2TeacherId,1000318,2Subject,German,2Room,307,3TeacherId,1000314,3Subject,Psychology,3Room,104,4TeacherId,100031,4Subject,History,4Room,210,5TeacherId,100032,5Subject,Science,5Room,303,6TeacherId,1000312,6Subject,Health,6Room,105,7TeacherId,1000339,7Subject,Drama,7Room,209
123456800,First11,Last11,L,student11@school.edu,555-0111,2008-12-12,F,11,Central High School,CHS,Central High School,111 Main St,Anytown,CA,90210,Parent11,555-0211,parent11@email.com,CaseManager2,150,Goal for student 11,Notes for student 11,Plan 3,Speech3,MH2,OT2,2024-12-15,2024-18-15,2024-12-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,1000336,1Subject,Physics,1Room,203,2TeacherId,1000314,2Subject,Physical Education,2Room,207,3TeacherId,100038,3Subject,Literature,3Room,110,4TeacherId,100031,4Subject,Computer Science,4Room,205,5TeacherId,100039,5Subject,Geometry,5Room,309,6TeacherId,1000332,6Subject,Algebra,6Room,207,7TeacherId,1000338,7Subject,History,7Room,205
123456801,First12,Last12,M,student12@school.edu,555-0112,2008-01-13,M,8,Central High School,CHS,Central High School,112 Main St,Anytown,CA,90210,Parent12,555-0212,parent12@email.com,CaseManager3,60,Goal for student 12,Notes for student 12,Plan 1,Speech1,MH1,OT1,2024-01-15,2024-07-15,2024-01-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,1000333,1Subject,Calculus,1Room,301,2TeacherId,1000314,2Subject,Spanish,2Room,305,3TeacherId,100035,3Subject,Government,3Room,303,4TeacherId,100035,4Subject,Physics,4Room,207,5TeacherId,1000315,5Subject,Cooking,5Room,108,6TeacherId,1000328,6Subject,Chemistry,6Room,307,7TeacherId,1000321,7Subject,German,7Room,305
123456802,First13,Last13,N,student13@school.edu,555-0113,2008-02-14,F,9,Central High School,CHS,Central High School,113 Main St,Anytown,CA,90210,Parent13,555-0213,parent13@email.com,CaseManager4,90,Goal for student 13,Notes for student 13,Plan 2,Speech2,MH2,OT2,2024-02-15,2024-08-15,2024-02-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,1000339,1Subject,Photography,1Room,208,2TeacherId,1000319,2Subject,Science,2Room,208,3TeacherId,1000344,3Subject,Spanish,3Room,207,4TeacherId,100036,4Subject,Spanish,4Room,210,5TeacherId,1000320,5Subject,Spanish,5Room,206,6TeacherId,100036,6Subject,English,6Room,108,7TeacherId,1000339,7Subject,Psychology,7Room,207
123456803,First14,Last14,O,student14@school.edu,555-0114,2008-03-15,M,10,Central High School,CHS,Central High School,114 Main St,Anytown,CA,90210,Parent14,555-0214,parent14@email.com,CaseManager5,120,Goal for student 14,Notes for student 14,Plan 3,Speech3,MH1,OT1,2024-03-15,2024-09-15,2024-03-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,100031,1Subject,Physical Education,1Room,203,2TeacherId,1000312,2Subject,Physics,2Room,205,3TeacherId,1000320,3Subject,Geometry,3Room,303,4TeacherId,1000313,4Subject,Drama,4Room,103,5TeacherId,100031,5Subject,Health,5Room,308,6TeacherId,1000331,6Subject,Geometry,6Room,104,7TeacherId,100035,7Subject,Biology,7Room,106
123456804,First15,Last15,P,student15@school.edu,555-0115,2008-04-16,F,11,Central High School,CHS,Central High School,115 Main St,Anytown,CA,90210,Parent15,555-0215,parent15@email.com,CaseManager1,150,Goal for student 15,Notes for student 15,Plan 1,Speech1,MH2,OT2,2024-04-15,2024-10-15,2024-04-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,1000341,1Subject,French,1Room,108,2TeacherId,1000316,2Subject,Art,2Room,306,3TeacherId,100000,3Subject,Drama,3Room,105,4TeacherId,100033,4Subject,Psychology,4Room,109,5TeacherId,100033,5Subject,Literature,5Room,210,6TeacherId,1000338,6Subject,Drama,6Room,101,7TeacherId,1000329,7Subject,German,7Room,109
123456805,First16,Last16,Q,student16@school.edu,555-0116,2008-05-17,M,8,Central High School,CHS,Central High School,116 Main St,Anytown,CA,90210,Parent16,555-0216,parent16@email.com,CaseManager2,60,Goal for student 16,Notes for student 16,Plan 2,Speech2,MH1,OT1,2024-05-15,2024-11-15,2024-05-10,None,20/20,Normal,Proficient,Advanced,1TeacherId,100035,1Subject,Art,1Room,203,2TeacherId,100000,2Subject,Geometry,2Room,207,3TeacherId,1000317,3Subject,Sociology,3Room,104,4TeacherId,1000313,4Subject,Government,4Room,201,5TeacherId,1000335,5Subject,Geometry,5Room,209,6TeacherId,1000325,6Subject,Physical Education,6Room,209,7TeacherId,1000345,7Subject,Photography,7Room,201
