sourcedId,givenName,familyName,middleName,email,phone,dateOfBirth,sex,grade,school,schoolCode,schoolName,address,city,state,zipCode,parentName,parentPhone,parentEmail,specialEducation,plan504,ell,disabilities,MedicalNotes,Vision,Hearing,CAASPP,ELPAC,CaseManager,SpeechProvider,MHProvider,OTProvider,Disability,ServiceMinutes,Goals,Notes,Plan,period1TeacherId,period1Subject,period1Room,period2TeacherId,period2Subject,period2Room,period3TeacherId,period3Subject,period3Room,period4TeacherId,period4Subject,period4Room,period5TeacherId,period5Subject,period5Room,period6TeacherId,period6Subject,period6Room,period7TeacherId,period7Subject,period7Room
123456790,Student1,Aeries1,B,student1@school.edu,555-0001,2008-02-02,F,8,Central High School,CHS,Central High School,101 Main St,Anytown,CA,90210,Parent1,555-1001,parent1@email.com,No,No,No,OHI,,20/20,Normal,Basic,Early Intermediate,Case Manager 2,Speech Provider 2,Mental Health Provider 2,OT Provider 2,OHI,63,Goal for student 1: Improve academic performance and social skills,Notes for student 1: Requires additional support in math and reading,504,100038,Math,203,100032,History,205,100024,Music,104,100006,Spanish,104,100045,Music,201,100043,History,205,100036,English,201
123456791,Student2,Aeries2,C,student2@school.edu,555-0002,2008-03-03,M,9,Central High School,CHS,Central High School,102 Main St,Anytown,CA,90210,Parent2,555-1002,parent2@email.com,No,No,No,ASD,,20/20,Normal,Proficient,Intermediate,Case Manager 3,Speech Provider 3,Mental Health Provider 3,OT Provider 3,ASD,66,Goal for student 2: Improve academic performance and social skills,Notes for student 2: Requires additional support in math and reading,IEP,100038,Science,205,100035,Music,205,100013,History,105,100005,Science,105,100002,Music,102,100035,History,204,100032,French,202
123456792,Student3,Aeries3,D,student3@school.edu,555-0003,2008-04-04,F,10,Central High School,CHS,Central High School,103 Main St,Anytown,CA,90210,Parent3,555-1003,parent3@email.com,Yes,No,No,ED,Medical notes for student 3,20/20,Normal,Advanced,Early Advanced,Case Manager 4,Speech Provider 1,Mental Health Provider 1,OT Provider 1,ED,69,Goal for student 3: Improve academic performance and social skills,Notes for student 3: Requires additional support in math and reading,504,100029,Computer Science,102,100003,Art,201,100011,PE,105,100027,Music,103,100034,History,205,100016,Computer Science,101,100001,Science,201
123456793,Student4,Aeries4,E,student4@school.edu,555-0004,2008-05-05,M,11,Central High School,CHS,Central High School,104 Main St,Anytown,CA,90210,Parent4,555-1004,parent4@email.com,No,Yes,No,SLD,,20/40,Normal,Below Basic,Advanced,Case Manager 5,Speech Provider 2,Mental Health Provider 2,OT Provider 2,SLD,72,Goal for student 4: Improve academic performance and social skills,Notes for student 4: Requires additional support in math and reading,IEP,100028,Science,105,100035,History,104,100028,PE,102,100001,Spanish,205,100001,Music,202,100045,Spanish,205,100037,Math,205
123456794,Student5,Aeries5,F,student5@school.edu,555-0005,2008-06-06,F,12,Central High School,CHS,Central High School,105 Main St,Anytown,CA,90210,Parent5,555-1005,parent5@email.com,No,No,Yes,OHI,,20/20,Mild hearing loss,Basic,Beginning,Case Manager 1,Speech Provider 3,Mental Health Provider 3,OT Provider 3,OHI,75,Goal for student 5: Improve academic performance and social skills,Notes for student 5: Requires additional support in math and reading,504,100024,Music,204,100020,English,103,100031,Science,105,100026,French,102,100024,History,205,100032,PE,102,100031,English,204
123456795,Student6,Aeries6,G,student6@school.edu,555-0006,2008-07-07,M,7,Central High School,CHS,Central High School,106 Main St,Anytown,CA,90210,Parent6,555-1006,parent6@email.com,Yes,No,No,ASD,Medical notes for student 6,20/20,Normal,Proficient,Early Intermediate,Case Manager 2,Speech Provider 1,Mental Health Provider 1,OT Provider 1,ASD,78,Goal for student 6: Improve academic performance and social skills,Notes for student 6: Requires additional support in math and reading,IEP,100005,Math,205,100011,Computer Science,103,100035,French,205,100040,English,203,100019,History,103,100006,French,202,100017,Music,205
123456796,Student7,Aeries7,H,student7@school.edu,555-0007,2008-08-08,F,8,Central High School,CHS,Central High School,107 Main St,Anytown,CA,90210,Parent7,555-1007,parent7@email.com,No,No,No,ED,,20/20,Normal,Advanced,Intermediate,Case Manager 3,Speech Provider 2,Mental Health Provider 2,OT Provider 2,ED,81,Goal for student 7: Improve academic performance and social skills,Notes for student 7: Requires additional support in math and reading,504,100027,Spanish,105,100007,French,103,100013,Music,102,100003,Art,204,100027,French,203,100018,French,201,100039,Math,205
123456797,Student8,Aeries8,I,student8@school.edu,555-0008,2008-09-09,M,9,Central High School,CHS,Central High School,108 Main St,Anytown,CA,90210,Parent8,555-1008,parent8@email.com,No,Yes,No,SLD,,20/40,Normal,Below Basic,Early Advanced,Case Manager 4,Speech Provider 3,Mental Health Provider 3,OT Provider 3,SLD,84,Goal for student 8: Improve academic performance and social skills,Notes for student 8: Requires additional support in math and reading,IEP,100035,History,103,100018,English,202,100024,Spanish,101,100015,History,101,100040,PE,101,100044,PE,102,100010,French,104
123456798,Student9,Aeries9,J,student9@school.edu,555-0009,2008-10-10,F,10,Central High School,CHS,Central High School,109 Main St,Anytown,CA,90210,Parent9,555-1009,parent9@email.com,Yes,No,No,OHI,Medical notes for student 9,20/20,Normal,Basic,Advanced,Case Manager 5,Speech Provider 1,Mental Health Provider 1,OT Provider 1,OHI,87,Goal for student 9: Improve academic performance and social skills,Notes for student 9: Requires additional support in math and reading,504,100026,English,105,100027,Science,201,100003,Music,205,100027,PE,205,100033,Spanish,202,100014,PE,202,100012,Music,103
123456799,Student10,Aeries10,K,student10@school.edu,555-0010,2008-11-11,M,11,Central High School,CHS,Central High School,110 Main St,Anytown,CA,90210,Parent10,555-1010,parent10@email.com,No,No,Yes,ASD,,20/20,Mild hearing loss,Proficient,Beginning,Case Manager 1,Speech Provider 2,Mental Health Provider 2,OT Provider 2,ASD,90,Goal for student 10: Improve academic performance and social skills,Notes for student 10: Requires additional support in math and reading,IEP,100043,French,102,100031,English,102,100007,Computer Science,201,100028,Art,203,100004,Spanish,102,100020,Spanish,201,100030,History,104
