SSID,FirstName,LastName,MiddleName,Grade,DOB,Gender,Ethnicity,School,Address,City,State,ZipCode,Phone,ParentName,ParentPhone,ParentEmail,ELL,504,IEP,CaseManager,Disability,ServiceMinutes,Goals,Notes,Plan,ReviewDate,ReevalDate,MeetingDate,SpeechProvider,MHProvider,OTProvider,ProgramAccommodations,IEP_Services
123456790,Student1,Seis1,B,8,2008-02-02,F,White,Central High School,101 Main St,Anytown,CA,90210,555-0001,Parent1,555-1001,parent1@email.com,No,No,No,Case Manager 2,OHI,63,Goal for student 1: Improve academic performance and social skills,Notes for student 1: Requires additional support in math and reading,504,2024-02-02,2027-02-02,2024-02-02,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy
123456791,Student2,Seis2,C,9,2008-03-03,M,Black,Central High School,102 Main St,Anytown,CA,90210,555-0002,Parent2,555-1002,parent2@email.com,No,No,No,Case Manager 3,ASD,66,Goal for student 2: Improve academic performance and social skills,Notes for student 2: Requires additional support in math and reading,IEP,2024-03-03,2027-03-03,2024-03-03,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy
123456792,Student3,Seis3,D,10,2008-04-04,F,Asian,Central High School,103 Main St,Anytown,CA,90210,555-0003,Parent3,555-1003,parent3@email.com,No,No,Yes,Case Manager 4,ED,69,Goal for student 3: Improve academic performance and social skills,Notes for student 3: Requires additional support in math and reading,504,2024-04-04,2027-04-04,2024-04-04,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456793,Student4,Seis4,E,11,2008-05-05,M,Other,Central High School,104 Main St,Anytown,CA,90210,555-0004,Parent4,555-1004,parent4@email.com,No,Yes,No,Case Manager 5,SLD,72,Goal for student 4: Improve academic performance and social skills,Notes for student 4: Requires additional support in math and reading,IEP,2024-05-05,2027-05-05,2024-05-05,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language
123456794,Student5,Seis5,F,12,2008-06-06,F,Hispanic,Central High School,105 Main St,Anytown,CA,90210,555-0005,Parent5,555-1005,parent5@email.com,Yes,No,No,Case Manager 1,OHI,75,Goal for student 5: Improve academic performance and social skills,Notes for student 5: Requires additional support in math and reading,504,2024-06-06,2027-06-06,2024-06-06,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy
123456795,Student6,Seis6,G,7,2008-07-07,M,White,Central High School,106 Main St,Anytown,CA,90210,555-0006,Parent6,555-1006,parent6@email.com,No,No,Yes,Case Manager 2,ASD,78,Goal for student 6: Improve academic performance and social skills,Notes for student 6: Requires additional support in math and reading,IEP,2024-07-07,2027-07-07,2024-07-07,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy
123456796,Student7,Seis7,H,8,2008-08-08,F,Black,Central High School,107 Main St,Anytown,CA,90210,555-0007,Parent7,555-1007,parent7@email.com,No,No,No,Case Manager 3,ED,81,Goal for student 7: Improve academic performance and social skills,Notes for student 7: Requires additional support in math and reading,504,2024-08-08,2027-08-08,2024-08-08,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456797,Student8,Seis8,I,9,2008-09-09,M,Asian,Central High School,108 Main St,Anytown,CA,90210,555-0008,Parent8,555-1008,parent8@email.com,No,Yes,No,Case Manager 4,SLD,84,Goal for student 8: Improve academic performance and social skills,Notes for student 8: Requires additional support in math and reading,IEP,2024-09-09,2027-09-09,2024-09-09,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language
123456798,Student9,Seis9,J,10,2008-10-10,F,Other,Central High School,109 Main St,Anytown,CA,90210,555-0009,Parent9,555-1009,parent9@email.com,No,No,Yes,Case Manager 5,OHI,87,Goal for student 9: Improve academic performance and social skills,Notes for student 9: Requires additional support in math and reading,504,2024-10-10,2027-10-10,2024-10-10,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy
123456799,Student10,Seis10,K,11,2008-11-11,M,Hispanic,Central High School,110 Main St,Anytown,CA,90210,555-0010,Parent10,555-1010,parent10@email.com,Yes,No,No,Case Manager 1,ASD,90,Goal for student 10: Improve academic performance and social skills,Notes for student 10: Requires additional support in math and reading,IEP,2024-11-11,2027-11-11,2024-11-11,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy
123456800,Student11,Seis11,L,12,2008-12-12,F,White,Central High School,111 Main St,Anytown,CA,90210,555-0011,Parent11,555-1011,parent11@email.com,No,No,No,Case Manager 2,ED,93,Goal for student 11: Improve academic performance and social skills,Notes for student 11: Requires additional support in math and reading,504,2024-12-12,2027-12-12,2024-12-12,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456801,Student12,Seis12,M,7,2008-01-13,M,Black,Central High School,112 Main St,Anytown,CA,90210,555-0012,Parent12,555-1012,parent12@email.com,No,Yes,Yes,Case Manager 3,SLD,96,Goal for student 12: Improve academic performance and social skills,Notes for student 12: Requires additional support in math and reading,IEP,2024-01-13,2027-01-13,2024-01-13,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language
123456802,Student13,Seis13,N,8,2008-02-14,F,Asian,Central High School,113 Main St,Anytown,CA,90210,555-0013,Parent13,555-1013,parent13@email.com,No,No,No,Case Manager 4,OHI,99,Goal for student 13: Improve academic performance and social skills,Notes for student 13: Requires additional support in math and reading,504,2024-02-14,2027-02-14,2024-02-14,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy
123456803,Student14,Seis14,O,9,2008-03-15,M,Other,Central High School,114 Main St,Anytown,CA,90210,555-0014,Parent14,555-1014,parent14@email.com,No,No,No,Case Manager 5,ASD,102,Goal for student 14: Improve academic performance and social skills,Notes for student 14: Requires additional support in math and reading,IEP,2024-03-15,2027-03-15,2024-03-15,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy
123456804,Student15,Seis15,P,10,2008-04-16,F,Hispanic,Central High School,115 Main St,Anytown,CA,90210,555-0015,Parent15,555-1015,parent15@email.com,Yes,No,Yes,Case Manager 1,ED,105,Goal for student 15: Improve academic performance and social skills,Notes for student 15: Requires additional support in math and reading,504,2024-04-16,2027-04-16,2024-04-16,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456805,Student16,Seis16,Q,11,2008-05-17,M,White,Central High School,116 Main St,Anytown,CA,90210,555-0016,Parent16,555-1016,parent16@email.com,No,Yes,No,Case Manager 2,SLD,108,Goal for student 16: Improve academic performance and social skills,Notes for student 16: Requires additional support in math and reading,IEP,2024-05-17,2027-05-17,2024-05-17,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language
123456806,Student17,Seis17,R,12,2008-06-18,F,Black,Central High School,117 Main St,Anytown,CA,90210,555-0017,Parent17,555-1017,parent17@email.com,No,No,No,Case Manager 3,OHI,111,Goal for student 17: Improve academic performance and social skills,Notes for student 17: Requires additional support in math and reading,504,2024-06-18,2027-06-18,2024-06-18,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy
123456807,Student18,Seis18,S,7,2008-07-19,M,Asian,Central High School,118 Main St,Anytown,CA,90210,555-0018,Parent18,555-1018,parent18@email.com,No,No,Yes,Case Manager 4,ASD,114,Goal for student 18: Improve academic performance and social skills,Notes for student 18: Requires additional support in math and reading,IEP,2024-07-19,2027-07-19,2024-07-19,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy
123456808,Student19,Seis19,T,8,2008-08-20,F,Other,Central High School,119 Main St,Anytown,CA,90210,555-0019,Parent19,555-1019,parent19@email.com,No,No,No,Case Manager 5,ED,117,Goal for student 19: Improve academic performance and social skills,Notes for student 19: Requires additional support in math and reading,504,2024-08-20,2027-08-20,2024-08-20,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456809,Student20,Seis20,U,9,2008-09-21,M,Hispanic,Central High School,120 Main St,Anytown,CA,90210,555-0020,Parent20,555-1020,parent20@email.com,Yes,Yes,No,Case Manager 1,SLD,120,Goal for student 20: Improve academic performance and social skills,Notes for student 20: Requires additional support in math and reading,IEP,2024-09-21,2027-09-21,2024-09-21,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language
123456810,Student21,Seis21,V,10,2008-10-22,F,White,Central High School,121 Main St,Anytown,CA,90210,555-0021,Parent21,555-1021,parent21@email.com,No,No,Yes,Case Manager 2,OHI,123,Goal for student 21: Improve academic performance and social skills,Notes for student 21: Requires additional support in math and reading,504,2024-10-22,2027-10-22,2024-10-22,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy
123456811,Student22,Seis22,W,11,2008-11-23,M,Black,Central High School,122 Main St,Anytown,CA,90210,555-0022,Parent22,555-1022,parent22@email.com,No,No,No,Case Manager 3,ASD,126,Goal for student 22: Improve academic performance and social skills,Notes for student 22: Requires additional support in math and reading,IEP,2024-11-23,2027-11-23,2024-11-23,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy
123456812,Student23,Seis23,X,12,2008-12-24,F,Asian,Central High School,123 Main St,Anytown,CA,90210,555-0023,Parent23,555-1023,parent23@email.com,No,No,No,Case Manager 4,ED,129,Goal for student 23: Improve academic performance and social skills,Notes for student 23: Requires additional support in math and reading,504,2024-12-24,2027-12-24,2024-12-24,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456813,Student24,Seis24,Y,7,2008-01-25,M,Other,Central High School,124 Main St,Anytown,CA,90210,555-0024,Parent24,555-1024,parent24@email.com,No,Yes,Yes,Case Manager 5,SLD,132,Goal for student 24: Improve academic performance and social skills,Notes for student 24: Requires additional support in math and reading,IEP,2024-01-25,2027-01-25,2024-01-25,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language
123456814,Student25,Seis25,Z,8,2008-02-26,F,Hispanic,Central High School,125 Main St,Anytown,CA,90210,555-0025,Parent25,555-1025,parent25@email.com,Yes,No,No,Case Manager 1,OHI,135,Goal for student 25: Improve academic performance and social skills,Notes for student 25: Requires additional support in math and reading,504,2024-02-26,2027-02-26,2024-02-26,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy
123456815,Student26,Seis26,A,9,2008-03-27,M,White,Central High School,126 Main St,Anytown,CA,90210,555-0026,Parent26,555-1026,parent26@email.com,No,No,No,Case Manager 2,ASD,138,Goal for student 26: Improve academic performance and social skills,Notes for student 26: Requires additional support in math and reading,IEP,2024-03-27,2027-03-27,2024-03-27,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy
123456816,Student27,Seis27,B,10,2008-04-28,F,Black,Central High School,127 Main St,Anytown,CA,90210,555-0027,Parent27,555-1027,parent27@email.com,No,No,Yes,Case Manager 3,ED,141,Goal for student 27: Improve academic performance and social skills,Notes for student 27: Requires additional support in math and reading,504,2024-04-28,2027-04-28,2024-04-28,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456817,Student28,Seis28,C,11,2008-05-01,M,Asian,Central High School,128 Main St,Anytown,CA,90210,555-0028,Parent28,555-1028,parent28@email.com,No,Yes,No,Case Manager 4,SLD,144,Goal for student 28: Improve academic performance and social skills,Notes for student 28: Requires additional support in math and reading,IEP,2024-05-01,2027-05-01,2024-05-01,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language
123456818,Student29,Seis29,D,12,2008-06-02,F,Other,Central High School,129 Main St,Anytown,CA,90210,555-0029,Parent29,555-1029,parent29@email.com,No,No,No,Case Manager 5,OHI,147,Goal for student 29: Improve academic performance and social skills,Notes for student 29: Requires additional support in math and reading,504,2024-06-02,2027-06-02,2024-06-02,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy
123456819,Student30,Seis30,E,7,2008-07-03,M,Hispanic,Central High School,130 Main St,Anytown,CA,90210,555-0030,Parent30,555-1030,parent30@email.com,Yes,No,Yes,Case Manager 1,ASD,150,Goal for student 30: Improve academic performance and social skills,Notes for student 30: Requires additional support in math and reading,IEP,2024-07-03,2027-07-03,2024-07-03,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy
123456820,Student31,Seis31,F,8,2008-08-04,F,White,Central High School,131 Main St,Anytown,CA,90210,555-0031,Parent31,555-1031,parent31@email.com,No,No,No,Case Manager 2,ED,153,Goal for student 31: Improve academic performance and social skills,Notes for student 31: Requires additional support in math and reading,504,2024-08-04,2027-08-04,2024-08-04,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456821,Student32,Seis32,G,9,2008-09-05,M,Black,Central High School,132 Main St,Anytown,CA,90210,555-0032,Parent32,555-1032,parent32@email.com,No,Yes,No,Case Manager 3,SLD,156,Goal for student 32: Improve academic performance and social skills,Notes for student 32: Requires additional support in math and reading,IEP,2024-09-05,2027-09-05,2024-09-05,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language
123456822,Student33,Seis33,H,10,2008-10-06,F,Asian,Central High School,133 Main St,Anytown,CA,90210,555-0033,Parent33,555-1033,parent33@email.com,No,No,Yes,Case Manager 4,OHI,159,Goal for student 33: Improve academic performance and social skills,Notes for student 33: Requires additional support in math and reading,504,2024-10-06,2027-10-06,2024-10-06,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy
123456823,Student34,Seis34,I,11,2008-11-07,M,Other,Central High School,134 Main St,Anytown,CA,90210,555-0034,Parent34,555-1034,parent34@email.com,No,No,No,Case Manager 5,ASD,162,Goal for student 34: Improve academic performance and social skills,Notes for student 34: Requires additional support in math and reading,IEP,2024-11-07,2027-11-07,2024-11-07,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy
123456824,Student35,Seis35,J,12,2008-12-08,F,Hispanic,Central High School,135 Main St,Anytown,CA,90210,555-0035,Parent35,555-1035,parent35@email.com,Yes,No,No,Case Manager 1,ED,165,Goal for student 35: Improve academic performance and social skills,Notes for student 35: Requires additional support in math and reading,504,2024-12-08,2027-12-08,2024-12-08,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456825,Student36,Seis36,K,7,2008-01-09,M,White,Central High School,136 Main St,Anytown,CA,90210,555-0036,Parent36,555-1036,parent36@email.com,No,Yes,Yes,Case Manager 2,SLD,168,Goal for student 36: Improve academic performance and social skills,Notes for student 36: Requires additional support in math and reading,IEP,2024-01-09,2027-01-09,2024-01-09,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language
123456826,Student37,Seis37,L,8,2008-02-10,F,Black,Central High School,137 Main St,Anytown,CA,90210,555-0037,Parent37,555-1037,parent37@email.com,No,No,No,Case Manager 3,OHI,171,Goal for student 37: Improve academic performance and social skills,Notes for student 37: Requires additional support in math and reading,504,2024-02-10,2027-02-10,2024-02-10,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy
