id,aeriesId,createdAt,email,name,provider,role
user001,100001,2025-07-07T03:53:17.272Z,joshua.harris@school.edu,Joshua Harris,,paraeducator
user002,100002,2025-07-07T03:53:17.276Z,donna.watson@school.edu,Donna Watson,,administrator
user003,100003,2025-07-07T03:53:17.276Z,robert.mendoza@school.edu,Robert Mendoza,SP,service_provider
user004,100004,2025-07-07T03:53:17.276Z,deborah.moore@school.edu,Deborah Moore,,paraeducator
user005,100005,2025-07-07T03:53:17.276Z,michelle.clark@school.edu,Michelle Clark,,paraeducator
user006,100006,2025-07-07T03:53:17.276Z,nicholas.jimenez@school.edu,Nicholas Jimenez,SP,service_provider
user007,100007,2025-07-07T03:53:17.276Z,stephen.diaz@school.edu,Stephen Diaz,,teacher
user008,100008,2025-07-07T03:53:17.276Z,deborah.martin@school.edu,Deborah Martin,,paraeducator
user009,100009,2025-07-07T03:53:17.276Z,karen.cooper@school.edu,Karen Cooper,,teacher
user010,100010,2025-07-07T03:53:17.276Z,alexander.james@school.edu,Alexander James,,teacher
user011,100011,2025-07-07T03:53:17.276Z,mary.collins@school.edu,Mary Collins,,teacher
user012,100012,2025-07-07T03:53:17.276Z,andrew.lopez@school.edu,Andrew Lopez,,paraeducator
user013,100013,2025-07-07T03:53:17.276Z,daniel.parker@school.edu,Daniel Parker,,teacher
user014,100014,2025-07-07T03:53:17.276Z,mary.carter@school.edu,Mary Carter,,teacher
user015,100015,2025-07-07T03:53:17.276Z,lisa.perez@school.edu,Lisa Perez,SC,service_provider
user016,100016,2025-07-07T03:53:17.276Z,donna.bailey@school.edu,Donna Bailey,HN,service_provider
user017,100017,2025-07-07T03:53:17.276Z,mary.thomas@school.edu,Mary Thomas,VI,service_provider
user018,100018,2025-07-07T03:53:17.276Z,lisa.watson@school.edu,Lisa Watson,,paraeducator
user019,100019,2025-07-07T03:53:17.276Z,jeffrey.garcia@school.edu,Jeffrey Garcia,,paraeducator
user020,100020,2025-07-07T03:53:17.276Z,edward.chavez@school.edu,Edward Chavez,,teacher
user021,100021,2025-07-07T03:53:17.276Z,donald.thompson@school.edu,Donald Thompson,,teacher
user022,100022,2025-07-07T03:53:17.276Z,matthew.brooks@school.edu,Matthew Brooks,,teacher
user023,100023,2025-07-07T03:53:17.276Z,helen.wilson@school.edu,Helen Wilson,,paraeducator
user024,100024,2025-07-07T03:53:17.276Z,patrick.clark@school.edu,Patrick Clark,,teacher
user025,100025,2025-07-07T03:53:17.276Z,nancy.stewart@school.edu,Nancy Stewart,,teacher
user026,100026,2025-07-07T03:53:17.276Z,stephen.cooper@school.edu,Stephen Cooper,SC,service_provider
user027,100027,2025-07-07T03:53:17.276Z,nancy.price@school.edu,Nancy Price,BIS,service_provider
user028,100028,2025-07-07T03:53:17.276Z,laura.cox@school.edu,Laura Cox,,teacher
user029,100029,2025-07-07T03:53:17.276Z,carol.alvarez@school.edu,Carol Alvarez,SW,service_provider
user030,100030,2025-07-07T03:53:17.276Z,sandra.harris@school.edu,Sandra Harris,,administrator
user031,100031,2025-07-07T03:53:17.276Z,betty.brooks@school.edu,Betty Brooks,,teacher
user032,100032,2025-07-07T03:53:17.276Z,jeffrey.thompson@school.edu,Jeffrey Thompson,,paraeducator
user033,100033,2025-07-07T03:53:17.276Z,ruth.harris@school.edu,Ruth Harris,BIS,service_provider
user034,100034,2025-07-07T03:53:17.276Z,patricia.flores@school.edu,Patricia Flores,,teacher
user035,100035,2025-07-07T03:53:17.276Z,anthony.clark@school.edu,Anthony Clark,,paraeducator
user036,100036,2025-07-07T03:53:17.276Z,jacob.smith@school.edu,Jacob Smith,,administrator
user037,100037,2025-07-07T03:53:17.276Z,larry.stewart@school.edu,Larry Stewart,,teacher
user038,100038,2025-07-07T03:53:17.276Z,jacob.walker@school.edu,Jacob Walker,,paraeducator
user039,100039,2025-07-07T03:53:17.276Z,kimberly.adams@school.edu,Kimberly Adams,,teacher
user040,100040,2025-07-07T03:53:17.276Z,sharon.robinson@school.edu,Sharon Robinson,,administrator
user041,100041,2025-07-07T03:53:17.276Z,kimberly.thompson@school.edu,Kimberly Thompson,,paraeducator
user042,100042,2025-07-07T03:53:17.276Z,dorothy.martinez@school.edu,Dorothy Martinez,DHH,service_provider
user043,100043,2025-07-07T03:53:17.276Z,carol.stewart@school.edu,Carol Stewart,,administrator
user044,100044,2025-07-07T03:53:17.276Z,carol.cook@school.edu,Carol Cook,,administrator
user045,100045,2025-07-07T03:53:17.276Z,david.kim@school.edu,David Kim,,administrator
user046,100046,2025-07-07T03:53:17.276Z,betty.edwards@school.edu,Betty Edwards,,teacher
user047,100047,2025-07-07T03:53:17.276Z,gregory.green@school.edu,Gregory Green,,paraeducator
user048,100048,2025-07-07T03:53:17.276Z,elizabeth.jimenez@school.edu,Elizabeth Jimenez,,administrator
user049,100049,2025-07-07T03:53:17.276Z,lisa.sanders@school.edu,Lisa Sanders,,administrator
user050,100050,2025-07-07T03:53:17.276Z,richard.garcia@school.edu,Richard Garcia,SC,service_provider
user051,100051,2025-07-07T03:53:17.276Z,laura.chavez@school.edu,Laura Chavez,,paraeducator
user052,100052,2025-07-07T03:53:17.276Z,benjamin.walker@school.edu,Benjamin Walker,AUD,service_provider
user053,100053,2025-07-07T03:53:17.276Z,eric.jackson@school.edu,Eric Jackson,,teacher
user054,100054,2025-07-07T03:53:17.276Z,helen.mitchell@school.edu,Helen Mitchell,SC,service_provider
user055,100055,2025-07-07T03:53:17.276Z,gary.jones@school.edu,Gary Jones,,teacher
user056,100056,2025-07-07T03:53:17.276Z,karen.rodriguez@school.edu,Karen Rodriguez,,paraeducator
user057,100057,2025-07-07T03:53:17.276Z,christopher.williams@school.edu,Christopher Williams,,administrator
user058,100058,2025-07-07T03:53:17.276Z,helen.cooper@school.edu,Helen Cooper,MH,service_provider
user059,100059,2025-07-07T03:53:17.276Z,ruth.jackson@school.edu,Ruth Jackson,,teacher
user060,100060,2025-07-07T03:53:17.276Z,joshua.hernandez@school.edu,Joshua Hernandez,OT,service_provider
user061,100061,2025-07-07T03:53:17.276Z,john.chavez@school.edu,John Chavez,,teacher
user062,100062,2025-07-07T03:53:17.276Z,richard.parker@school.edu,Richard Parker,,teacher
user063,100063,2025-07-07T03:53:17.276Z,raymond.williams@school.edu,Raymond Williams,DHH,service_provider
user064,100064,2025-07-07T03:53:17.276Z,donald.jimenez@school.edu,Donald Jimenez,,teacher
user065,100065,2025-07-07T03:53:17.276Z,nicholas.wilson@school.edu,Nicholas Wilson,,administrator
user066,100066,2025-07-07T03:53:17.276Z,donna.evans@school.edu,Donna Evans,,teacher
user067,100067,2025-07-07T03:53:17.276Z,nicholas.morris@school.edu,Nicholas Morris,,administrator
user068,100068,2025-07-07T03:53:17.276Z,sarah.brooks@school.edu,Sarah Brooks,,teacher
user069,100069,2025-07-07T03:53:17.276Z,samuel.cook@school.edu,Samuel Cook,PT,service_provider
user070,100070,2025-07-07T03:53:17.276Z,dorothy.williams@school.edu,Dorothy Williams,,paraeducator
user071,100071,2025-07-07T03:53:17.276Z,michelle.scott@school.edu,Michelle Scott,,paraeducator
user072,100072,2025-07-07T03:53:17.276Z,david.reyes@school.edu,David Reyes,,administrator
user073,100073,2025-07-07T03:53:17.276Z,matthew.flores@school.edu,Matthew Flores,,paraeducator
user074,100074,2025-07-07T03:53:17.276Z,gary.reed@school.edu,Gary Reed,,paraeducator
user075,100075,2025-07-07T03:53:17.276Z,emily.diaz@school.edu,Emily Diaz,,administrator
user076,100076,2025-07-07T03:53:17.276Z,ruth.myers@school.edu,Ruth Myers,,teacher
user077,100077,2025-07-07T03:53:17.276Z,carol.flores@school.edu,Carol Flores,,paraeducator
user078,100078,2025-07-07T03:53:17.276Z,michael.jackson@school.edu,Michael Jackson,,administrator
user079,100079,2025-07-07T03:53:17.276Z,donald.robinson@school.edu,Donald Robinson,OT,service_provider
user080,100080,2025-07-07T03:53:17.276Z,robert.hughes@school.edu,Robert Hughes,,teacher
user081,100081,2025-07-07T03:53:17.276Z,patricia.johnson@school.edu,Patricia Johnson,,teacher
user082,100082,2025-07-07T03:53:17.276Z,deborah.rivera@school.edu,Deborah Rivera,,teacher
user083,100083,2025-07-07T03:53:17.276Z,dorothy.williams@school.edu,Dorothy Williams,,teacher
user084,100084,2025-07-07T03:53:17.276Z,eric.roberts@school.edu,Eric Roberts,,administrator
user085,100085,2025-07-07T03:53:17.276Z,ronald.mendoza@school.edu,Ronald Mendoza,,teacher
user086,100086,2025-07-07T03:53:17.276Z,mark.allen@school.edu,Mark Allen,,paraeducator
user087,100087,2025-07-07T03:53:17.276Z,laura.phillips@school.edu,Laura Phillips,SW,service_provider
user088,100088,2025-07-07T03:53:17.276Z,susan.taylor@school.edu,Susan Taylor,,teacher
user089,100089,2025-07-07T03:53:17.276Z,deborah.cruz@school.edu,Deborah Cruz,,paraeducator
user090,100090,2025-07-07T03:53:17.276Z,karen.green@school.edu,Karen Green,,teacher
user091,100091,2025-07-07T03:53:17.276Z,alexander.hernandez@school.edu,Alexander Hernandez,,teacher
user092,100092,2025-07-07T03:53:17.276Z,laura.morris@school.edu,Laura Morris,DHH,service_provider
user093,100093,2025-07-07T03:53:17.276Z,donald.richardson@school.edu,Donald Richardson,,administrator
user094,100094,2025-07-07T03:53:17.276Z,robert.watson@school.edu,Robert Watson,DHH,service_provider
user095,100095,2025-07-07T03:53:17.276Z,nancy.hall@school.edu,Nancy Hall,,paraeducator
user096,100096,2025-07-07T03:53:17.276Z,kenneth.murphy@school.edu,Kenneth Murphy,DHH,service_provider
user097,100097,2025-07-07T03:53:17.276Z,brian.king@school.edu,Brian King,OM,service_provider
user098,100098,2025-07-07T03:53:17.276Z,laura.sanders@school.edu,Laura Sanders,MH,service_provider
user099,100099,2025-07-07T03:53:17.276Z,thomas.martin@school.edu,Thomas Martin,,paraeducator
user100,100100,2025-07-07T03:53:17.276Z,betty.morgan@school.edu,Betty Morgan,,teacher
