Name,Email,Role,Provider,AeriesID
"James Smith","sped.chair@school.org","sped_chair","","100000"
"Mary Johnson","slp@school.org","service_provider","SLP","100001"
"John Williams","ot@school.org","service_provider","OT","100002"
"Patricia Brown","pt@school.org","service_provider","PT","100003"
"Robert Jones","sc@school.org","service_provider","SC","100004"
"Jennifer Garcia","mh@school.org","service_provider","MH","100005"
"Michael Miller","tr@school.org","service_provider","TR","100006"
"Linda Davis","aud@school.org","service_provider","AUD","100007"
"William Rodriguez","vi@school.org","service_provider","VI","100008"
"Elizabeth Martinez","at@school.org","service_provider","AT","100009"
"David Hernandez","dhh@school.org","service_provider","DHH","1000010"
"Barbara Lopez","o&m@school.org","service_provider","O&M","1000011"
"Richard Gonzalez","bis@school.org","service_provider","BIS","1000012"
"Susan Wilson","hn@school.org","service_provider","HN","1000013"
"Joseph Anderson","sw@school.org","service_provider","SW","1000014"
"Jessica Thomas","aide1@school.org","paraeducator","","100015"
"Thomas Taylor","aide2@school.org","paraeducator","","100016"
"Sarah Moore","aide3@school.org","paraeducator","","100017"
"Christopher Jackson","aide4@school.org","paraeducator","","100018"
"Karen Martin","aide5@school.org","paraeducator","","100019"
"Charles Lee","aide6@school.org","paraeducator","","1000110"
"Nancy Perez","aide7@school.org","paraeducator","","1000111"
"Daniel Thompson","aide8@school.org","paraeducator","","1000112"
"Lisa White","aide9@school.org","paraeducator","","1000113"
"Matthew Harris","aide10@school.org","paraeducator","","1000114"
"Betty Sanchez","admin1@school.org","admin","","100025"
"Anthony Clark","admin2@school.org","admin","","100026"
"Helen Ramirez","admin3@school.org","admin","","100027"
"Mark Lewis","admin4@school.org","admin","","100028"
"Sandra Robinson","admin5@school.org","admin","","100029"
"Donald Walker","admin6@school.org","admin","","1000210"
"Donna Young","teacher1@school.org","case_manager","","100031"
"Steven Allen","teacher2@school.org","case_manager","","100032"
"Carol King","teacher3@school.org","case_manager","","100033"
"Paul Wright","teacher4@school.org","case_manager","","100034"
"Ruth Scott","teacher5@school.org","case_manager","","100035"
"Andrew Torres","teacher6@school.org","sped_chair","","100036"
"Sharon Nguyen","teacher7@school.org","administrator_504_CM","","100037"
"Joshua Hill","teacher8@school.org","administrator_504_CM","","100038"
"Michelle Flores","teacher9@school.org","administrator_504_CM","","100039"
"Kenneth Green","teacher10@school.org","administrator_504_CM","","1000310"
"Laura Adams","teacher11@school.org","teacher","","1000311"
"Kevin Nelson","teacher12@school.org","teacher","","1000312"
"Emily Baker","teacher13@school.org","teacher","","1000313"
"Brian Hall","teacher14@school.org","teacher","","1000314"
"Kimberly Rivera","teacher15@school.org","teacher","","1000315"
"George Campbell","teacher16@school.org","teacher","","1000316"
"Deborah Mitchell","teacher17@school.org","teacher","","1000317"
"Edward Carter","teacher18@school.org","teacher","","1000318"
"Dorothy Roberts","teacher19@school.org","teacher","","1000319"
"Ronald Gomez","teacher20@school.org","teacher","","1000320"
"Lisa Phillips","teacher21@school.org","teacher","","1000321"
"Timothy Evans","teacher22@school.org","teacher","","1000322"
"Nancy Turner","teacher23@school.org","teacher","","1000323"
"Jason Diaz","teacher24@school.org","teacher","","1000324"
"Karen Parker","teacher25@school.org","teacher","","1000325"
"Jeffrey Cruz","teacher26@school.org","teacher","","1000326"
"Betty Edwards","teacher27@school.org","teacher","","1000327"
"Ryan Collins","teacher28@school.org","teacher","","1000328"
"Helen Reyes","teacher29@school.org","teacher","","1000329"
"Jacob Stewart","teacher30@school.org","teacher","","1000330"
"Sandra Morris","teacher31@school.org","teacher","","1000331"
"Gary Morales","teacher32@school.org","teacher","","1000332"
"Donna Murphy","teacher33@school.org","teacher","","1000333"
"Nicholas Cook","teacher34@school.org","teacher","","1000334"
"Carol Rogers","teacher35@school.org","teacher","","1000335"
"Eric Gutierrez","teacher36@school.org","teacher","","1000336"
"Ruth Ortiz","teacher37@school.org","teacher","","1000337"
"Jonathan Morgan","teacher38@school.org","teacher","","1000338"
"Sharon Cooper","teacher39@school.org","teacher","","1000339"
"Stephen Peterson","teacher40@school.org","teacher","","1000340"
"Michelle Bailey","teacher41@school.org","teacher","","1000341"
"Larry Reed","teacher42@school.org","teacher","","1000342"
"Laura Kelly","teacher43@school.org","teacher","","1000343"
"Justin Howard","teacher44@school.org","teacher","","1000344"
"Emily Ramos","teacher45@school.org","teacher","","1000345"
