SSID,LastName,FirstName,MiddleName,Grade,DOB,Gender,Ethnicity,School,Address,City,State,ZipCode,Phone,ParentName,ParentPhone,ParentEmail,ELL,504,IEP,CaseManager,Disability,ServiceMinutes,Goals,Notes,Plan,ReviewDate,ReevalDate,MeetingDate,SpeechProvider,MHProvider,OTProvider,InstructionAccommodations,AssessmentAccommodations,Flag1,Flag2,Period1Subject,Period1TeacherId,Period1Room,Period2Subject,Period2TeacherId,Period2Room,Period3Subject,Period3TeacherId,Period3Room,Period4Subject,Period4TeacherId,Period4Room,Period5Subject,Period5TeacherId,Period5Room,Period6Subject,Period6TeacherId,Period6Room,Period7Subject,Period7TeacherId,Period7Room
"123456789","Adams","Wyatt","Madison","11","2006-10-23","Female","Hispanic","Central High School","3252 Elm Avenue","Springfield","CA","90210","555-0873","Ethan Adams","555-2444","wyatt.adams@email.com","No","No","No","","Speech Impairment","","Improve academic skills and social development","","General Education","2024-06-11","2025-03-05","2024-08-28","","","","No accommodations needed","No accommodations needed","false","false","Creative Writing","100038","286","Math","100048","206","History","100073","225","PE","100074","198","French","100037","229","Government","100070","256","French","100042","128"
"123456790","Hernandez","Victoria","Natalie","9","2009-12-04","Male","Hispanic","Central High School","6345 Maple Road","Springfield","CA","90210","555-5143","Evelyn Hernandez","555-6775","victoria.hernandez@email.com","No","No","No","","","69","","Student shows good progress with current interventions","General Education","2024-02-25","2025-03-05","2024-04-15","","","","No accommodations needed","No accommodations needed","false","true","German","100054","132","French","100052","263","Music","100051","263","Psychology","100066","267","Algebra","100054","243","Calculus","100059","241","World History","100062","131"
"123456791","Smith","Aurora","Penelope","10","2007-01-21","Male","Black","Central High School","3369 Elm Lane","Springfield","CA","90210","555-8687","Caleb Smith","555-9019","aurora.smith@email.com","No","No","No","","","","","Student shows good progress with current interventions","Special Education","2024-10-11","2025-06-06","2024-12-16","","","","Extended time; Preferential seating","Extended time; Separate setting","false","false","Computer Science","100040","295","Physics","100073","173","French","100075","273","History","100059","187","Economics","100051","235","Spanish","100068","235","Choir","100065","283"
"123456792","Rodriguez","Anthony","Gabriel","12","2006-08-10","Female","Hispanic","Central High School","1013 Cedar Drive","Springfield","CA","90210","555-7732","Scarlett Rodriguez","555-3994","anthony.rodriguez@email.com","No","No","No","Brown","","146","","","Special Education","2024-11-02","2025-11-25","2024-09-04","","","","No accommodations needed","Extended time; Separate setting","true","false","Literature","100066","287","Calculus","100049","238","Calculus","100043","277","Sociology","100055","117","Art","100071","283","Journalism","100067","281","Spanish","100040","204"
"123456793","Robinson","Evelyn","Aurora","11","2007-02-11","Male","Hispanic","Central High School","7361 Pine Street","Springfield","CA","90210","555-6884","Isaiah Robinson","555-7084","evelyn.robinson@email.com","No","No","Yes","","","","","","Special Education","2024-02-23","2025-01-06","2024-11-14","","","","No accommodations needed","No accommodations needed","false","false","Journalism","100053","100","Choir","100037","119","Science","100033","197","Sociology","100057","243","German","100048","135","Music","100034","226","Spanish","100053","100"
"123456794","Jones","Harper","Nathan","12","2005-04-20","Female","Asian","Central High School","4743 Oak Lane","Springfield","CA","90210","555-3644","Gabriel Jones","555-8148","harper.jones@email.com","No","No","No","","","","","","General Education","2024-07-09","2025-06-03","2024-10-24","","","","Extended time; Preferential seating","No accommodations needed","false","false","Government","100051","134","Sociology","100075","169","Creative Writing","100035","115","PE","100040","281","French","100033","164","Choir","100032","180","Calculus","100043","267"
"123456795","Nelson","Anthony","Elizabeth","12","2006-08-12","Female","Other","Central High School","4998 Maple Drive","Springfield","CA","90210","555-8902","Anthony Nelson","555-7916","anthony.nelson@email.com","No","No","Yes","","Speech Impairment","129","","Student shows good progress with current interventions","General Education","2024-11-11","2025-01-14","2024-11-16","","","","No accommodations needed","No accommodations needed","false","false","History","100035","275","Choir","100052","262","Drama","100045","239","Literature","100073","261","Math","100075","197","Government","100068","229","Government","100042","208"
"123456796","Jones","Isaac","Stella","10","2007-02-20","Male","White","Central High School","7603 Cedar Drive","Springfield","CA","90210","555-1625","Benjamin Jones","555-1369","isaac.jones@email.com","No","No","Yes","","","","","","General Education","2024-10-16","2025-12-15","2024-03-04","","Dr. Brown","","No accommodations needed","No accommodations needed","false","false","Science","100055","178","Chemistry","100031","287","Psychology","100059","130","Algebra","100042","151","Economics","100074","256","Band","100052","184","Science","100066","272"
"123456797","Young","James","Isaiah","10","2007-10-16","Female","Black","Central High School","4201 Elm Road","Springfield","CA","90210","555-6446","Leo Young","555-6997","james.young@email.com","No","No","No","Johnson","","","Improve academic skills and social development","","General Education","2024-06-13","2025-05-05","2024-03-10","","","","No accommodations needed","No accommodations needed","true","false","Music","100064","275","Literature","100069","202","Geometry","100050","222","German","100068","138","English","100070","143","Science","100047","189","Art","100034","112"
"123456798","Flores","Claire","Noah","12","2006-01-12","Female","Asian","Central High School","1076 Cedar Road","Springfield","CA","90210","555-4099","Lucas Flores","555-6708","claire.flores@email.com","No","No","No","Johnson","","","Improve academic skills and social development","Student shows good progress with current interventions","Special Education","2024-11-11","2025-11-01","2024-09-07","","","","No accommodations needed","No accommodations needed","false","false","World History","100052","113","Geometry","100052","204","Creative Writing","100033","231","World History","100075","175","World History","100058","126","English","100053","222","History","100041","199"
