Name,Email,Role
John Smith,john.smith@school.edu,admin
Sarah Johnson,sarah.johnson@school.edu,administrator
Michael Davis,michael.davis@school.edu,sped_chair
Emily Wilson,emily.wilson@school.edu,case_manager
David Brown,david.brown@school.edu,case_manager
Lisa Anderson,lisa.anderson@school.edu,case_manager
Robert Taylor,robert.taylor@school.edu,teacher
Jennifer Martinez,jennifer.martinez@school.edu,teacher
Christopher Garcia,christopher.garcia@school.edu,teacher
Amanda Rodriguez,amanda.rodriguez@school.edu,teacher
Daniel Lopez,daniel.lopez@school.edu,service_provider
Michelle White,michelle.white@school.edu,service_provider
Kevin Thompson,kevin.thompson@school.edu,service_provider
Stephanie Lee,stephanie.lee@school.edu,administrator_504_CM
Anthony Clark,anthony.clark@school.edu,administrator_504_CM
Rachel Lewis,rachel.lewis@school.edu,sped_chair
Timothy Hall,timothy.hall@school.edu,case_manager
Nicole Young,nicole.young@school.edu,teacher
Jeffrey King,jeffrey.king@school.edu,service_provider
Patricia Wright,patricia.wright@school.edu,case_manager 
