SSID,FirstName,LastName,MiddleName,Grade,DOB,Gender,Ethnicity,School,Address,City,State,ZipCode,Phone,ParentName,ParentPhone,ParentEmail,ELL,504,IEP,CaseManagerId,EligibilityCategory,PrimaryDisability,SecondaryDisability,IEPStartDate,IEPEndDate,AnnualReviewDate,TriennialDate,ServiceMinutes,Goals,Notes,Plan,ReviewDate,ReevalDate,MeetingDate,SpeechProvider,MHProvider,OTProvider,ProgramAccommodations,Accommodations,IEP_Services
123456790,First1,Last1,B,8,2008-02-02,F,Hispanic,Central Middle School,101 Main St,Anytown,CA,90210,555-0101,Parent1,555-0201,parent1@email.com,false,false,true,user049,Specific Learning Disability,Dyslexia,ADHD,2024-09-01,2025-06-30,2025-02-15,2025-08-15,90,"Improve reading comprehension by 20%;Develop organizational skills;Increase attention span during class",Notes for student 1,IEP,2025-02-15,2025-08-15,2025-02-10,user003,user028,user015,"Extended time on tests;Preferential seating","Extended time on tests;Preferential seating","Speech and Language Therapy;Occupational Therapy;Resource Specialist Program"
123456791,First2,Last2,C,8,2008-03-03,M,White,Central Middle School,102 Main St,Anytown,CA,90210,555-0102,Parent2,555-0202,parent2@email.com,false,false,true,user049,Autism Spectrum Disorder,Autism,Sensory Processing,2024-09-01,2025-06-30,2025-03-15,2025-09-15,120,"Improve social communication skills;Develop coping strategies for sensory overload;Increase academic engagement",Notes for student 2,IEP,2025-03-15,2025-09-15,2025-03-10,user006,user054,user015,"Sensory breaks;Structured environment","Sensory breaks;Structured environment","Speech and Language Therapy;Behavioral Intervention;Occupational Therapy"
123456792,First3,Last3,D,8,2008-04-04,F,African American,Central Middle School,103 Main St,Anytown,CA,90210,555-0103,Parent3,555-0203,parent3@email.com,false,true,false,user030,Other Health Impairment,ADHD,,2024-09-01,2025-06-30,2025-04-15,2025-10-15,150,"Improve attention and focus;Develop self-regulation strategies;Increase task completion",Notes for student 3,504,2025-04-15,2025-10-15,2025-04-10,user003,user029,user015,"Extended time;Frequent breaks","Extended time;Frequent breaks","Counseling Services;Study Skills Support"
123456793,First4,Last4,E,8,2008-05-05,M,Asian,Central Middle School,104 Main St,Anytown,CA,90210,555-0104,Parent4,555-0204,parent4@email.com,true,false,true,user036,Intellectual Disability,Mild Intellectual Disability,,2024-09-01,2025-06-30,2025-05-15,2025-11-15,60,"Develop functional academic skills;Improve independent living skills;Increase social interaction",Notes for student 4,IEP,2025-05-15,2025-11-15,2025-05-10,user006,user054,user015,"Modified curriculum;Visual supports","Modified curriculum;Visual supports","Speech and Language Therapy;Life Skills Training;Social Skills Training"
123456794,First5,Last5,F,8,2008-06-06,F,Hispanic,Central Middle School,105 Main St,Anytown,CA,90210,Parent5,555-0205,parent5@email.com,false,false,true,user040,Emotional Disturbance,Anxiety Disorder,Depression,2024-09-01,2025-06-30,2025-06-15,2025-12-15,90,"Develop coping strategies for anxiety;Improve emotional regulation;Increase school attendance",Notes for student 5,IEP,2025-06-15,2025-12-15,2025-06-10,user003,user029,user015,"Counseling support;Calm down space","Counseling support;Calm down space","Mental Health Services;Counseling;Social Work Services"
123456795,First6,Last6,G,8,2008-07-07,M,White,Central Middle School,106 Main St,Anytown,CA,90210,Parent6,555-0206,parent6@email.com,false,false,false,user043,,,,,,,120,"Improve academic performance;Develop study skills;Increase motivation",Notes for student 6,RTI,2025-07-15,2026-01-15,2025-07-10,user006,user054,user015,"Small group instruction;Progress monitoring","Small group instruction;Progress monitoring","Academic Support;Study Skills Training"
123456796,First7,Last7,H,8,2008-08-08,F,Native American,Central Middle School,107 Main St,Anytown,CA,90210,Parent7,555-0207,parent7@email.com,false,false,true,user044,Multiple Disabilities,Cerebral Palsy,Intellectual Disability,2024-09-01,2025-06-30,2025-08-15,2026-02-15,150,"Improve mobility and independence;Develop communication skills;Increase participation in activities",Notes for student 7,IEP,2025-08-15,2026-02-15,2025-08-10,user003,user029,user015,"Assistive technology;Physical therapy","Assistive technology;Physical therapy","Physical Therapy;Occupational Therapy;Speech and Language Therapy;Assistive Technology"
123456797,First8,Last8,I,8,2008-09-09,M,Pacific Islander,Central Middle School,108 Main St,Anytown,CA,90210,Parent8,555-0208,parent8@email.com,false,true,false,user045,Other Health Impairment,Diabetes,,2024-09-01,2025-06-30,2025-09-15,2026-03-15,60,"Monitor blood sugar levels;Develop self-management skills;Maintain academic performance",Notes for student 8,504,2025-09-15,2026-03-15,2025-09-10,user006,user054,user015,"Health monitoring;Snack breaks","Health monitoring;Snack breaks","Health Services;Nursing Support"
123456798,First9,Last9,J,8,2008-10-10,F,Mixed Race,Central Middle School,109 Main St,Anytown,CA,90210,Parent9,555-0209,parent9@email.com,false,false,true,user048,Hearing Impairment,Moderate Hearing Loss,,2024-09-01,2025-06-30,2025-10-15,2026-04-15,90,"Improve communication skills;Develop listening strategies;Increase academic achievement",Notes for student 9,IEP,2025-10-15,2026-04-15,2025-10-10,user003,user029,user015,"FM system;Preferential seating","FM system;Preferential seating","Audiology Services;Speech and Language Therapy;Deaf and Hard of Hearing Services"
123456799,First10,Last10,K,8,2008-11-11,M,Hispanic,Central Middle School,110 Main St,Anytown,CA,90210,Parent10,555-0210,parent10@email.com,true,false,true,user049,Specific Learning Disability,Dyscalculia,,2024-09-01,2025-06-30,2025-11-15,2026-05-15,120,"Improve mathematical reasoning;Develop number sense;Increase problem-solving skills",Notes for student 10,IEP,2025-11-15,2026-05-15,2025-11-10,user006,user054,user015,"Calculator use;Extra time for math","Calculator use;Extra time for math","Resource Specialist Program;Math Support;Study Skills Training"
123456800,First11,Last11,L,8,2008-12-12,F,White,Central Middle School,111 Main St,Anytown,CA,90210,Parent11,555-0211,parent11@email.com,false,false,false,user030,,,,,,,150,"Improve reading fluency;Develop comprehension strategies;Increase vocabulary",Notes for student 11,RTI,2025-12-15,2026-06-15,2025-12-10,user003,user029,user015,"Reading intervention;Small group","Reading intervention;Small group","Reading Support;Academic Intervention"
123456801,First12,Last12,M,8,2009-01-13,M,African American,Central Middle School,112 Main St,Anytown,CA,90210,Parent12,555-0212,parent12@email.com,false,false,true,user036,Visual Impairment,Low Vision,,2024-09-01,2025-06-30,2025-01-15,2025-07-15,60,"Develop compensatory skills;Improve mobility;Increase independence",Notes for student 12,IEP,2025-01-15,2025-07-15,2025-01-10,user006,user054,user015,"Large print materials;Magnification","Large print materials;Magnification","Vision Services;Orientation and Mobility;Assistive Technology"
123456802,First13,Last13,N,8,2009-02-14,F,Asian,Central Middle School,113 Main St,Anytown,CA,90210,Parent13,555-0213,parent13@email.com,false,true,false,user040,Other Health Impairment,Epilepsy,,2024-09-01,2025-06-30,2025-02-15,2025-08-15,90,"Manage seizure protocols;Maintain academic progress;Develop safety awareness",Notes for student 13,504,2025-02-15,2025-08-15,2025-02-10,user003,user029,user015,"Seizure action plan;Safe environment","Seizure action plan;Safe environment","Health Services;Nursing Support;Safety Planning"
123456803,First14,Last14,O,8,2009-03-15,M,Hispanic,Central Middle School,114 Main St,Anytown,CA,90210,Parent14,555-0214,parent14@email.com,true,false,true,user043,Speech or Language Impairment,Articulation Disorder,,2024-09-01,2025-06-30,2025-03-15,2025-09-15,120,"Improve speech clarity;Develop communication confidence;Increase participation",Notes for student 14,IEP,2025-03-15,2025-09-15,2025-03-10,user006,user054,user015,"Speech therapy;Communication support","Speech therapy;Communication support","Speech and Language Therapy;Communication Support"
