SSID,givenName,familyName,middleName,email,phone,dateOfBirth,sex,grade,school,schoolCode,schoolName,Address,City,State,ZipCode,ParentName,ParentPhone,ParentEmail,CaseManager,ServiceMinutes,Goals,Notes,Plan,SpeechProvider,MHProvider,OTProvider,ReviewDate,ReevalDate,MeetingDate,MedicalNotes,Vision,Hearing,CAASPP,ELPAC,Disabilities,Accommodations,IEPGoals,IEPServices
"123456790","Emma","Smith","A","student1@school.edu","555-0001","2008-01-01","M","8","Central High School","CHS","Central High School","100 Main St","Anytown","CA","90210","Parent1","555-0001","parent1@email.com","Nathan Morris","200","Goal for student 1: Improve academic performance and social skills","Notes for student 1: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-01-01","2027-01-01","2024-01-01","Requires medication monitoring","20/40","Mild hearing loss","Below Basic","Advanced","SLD;OHI","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456791","Liam","Johnson","B","student2@school.edu","555-0002","2008-02-02","F","9","Central High School","CHS","Central High School","101 Main St","Anytown","CA","90210","Parent2","555-0002","parent2@email.com","Isaac Murphy","67","Goal for student 2: Improve academic performance and social skills","Notes for student 2: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-02-02","2027-02-02","2024-02-02","None","20/20","Normal","Proficient","Intermediate","SLD","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456792","Olivia","Williams","C","student3@school.edu","555-0003","2008-03-03","M","10","Central High School","CHS","Central High School","102 Main St","Anytown","CA","90210","Parent3","555-0003","parent3@email.com","Isaac Murphy","255","Goal for student 3: Improve academic performance and social skills","Notes for student 3: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-03-03","2027-03-03","2024-03-03","None","20/20","Normal","Advanced","Early Advanced","SLD","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456793","Noah","Brown","D","student4@school.edu","555-0004","2008-04-04","F","11","Central High School","CHS","Central High School","103 Main St","Anytown","CA","90210","Parent4","555-0004","parent4@email.com","Aubrey Morales","184","Goal for student 4: Improve academic performance and social skills","Notes for student 4: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-04-04","2027-04-04","2024-04-04","Requires medication monitoring","20/20","Normal","Basic","Early Intermediate","SLD","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456794","Ava","Jones","E","student5@school.edu","555-0005","2008-05-05","M","8","Central High School","CHS","Central High School","104 Main St","Anytown","CA","90210","Parent5","555-0005","parent5@email.com","Aubrey Morales","289","Goal for student 5: Improve academic performance and social skills","Notes for student 5: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-05-05","2027-05-05","2024-05-05","None","20/20","Normal","Below Basic","Early Advanced","SLD","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456795","Ethan","Garcia","F","student6@school.edu","555-0006","2008-06-06","F","9","Central High School","CHS","Central High School","105 Main St","Anytown","CA","90210","Parent6","555-0006","parent6@email.com","Isaac Murphy","217","Goal for student 6: Improve academic performance and social skills","Notes for student 6: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-06-06","2027-06-06","2024-06-06","None","20/40","Normal","Proficient","Beginning","SLD;OHI;AUT","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456796","Isabella","Miller","G","student7@school.edu","555-0007","2008-07-07","M","10","Central High School","CHS","Central High School","106 Main St","Anytown","CA","90210","Parent7","555-0007","parent7@email.com","Aubrey Morales","159","Goal for student 7: Improve academic performance and social skills","Notes for student 7: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-07-07","2027-07-07","2024-07-07","Requires medication monitoring","20/20","Normal","Basic","Early Advanced","SLD;OHI;AUT","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456797","Lucas","Davis","H","student8@school.edu","555-0008","2008-08-08","F","11","Central High School","CHS","Central High School","107 Main St","Anytown","CA","90210","Parent8","555-0008","parent8@email.com","Nathan Morris","213","Goal for student 8: Improve academic performance and social skills","Notes for student 8: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-08-08","2027-08-08","2024-08-08","None","20/20","Normal","Advanced","Beginning","SLD;OHI;AUT","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456798","Sophia","Rodriguez","I","student9@school.edu","555-0009","2008-09-09","M","8","Central High School","CHS","Central High School","108 Main St","Anytown","CA","90210","Parent9","555-0009","parent9@email.com","Ellie Cook","86","Goal for student 9: Improve academic performance and social skills","Notes for student 9: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-09-09","2027-09-09","2024-09-09","None","20/20","Normal","Proficient","Early Advanced","SLD","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456799","Mason","Martinez","J","student10@school.edu","555-0010","2008-10-10","F","9","Central High School","CHS","Central High School","109 Main St","Anytown","CA","90210","Parent10","555-0010","parent10@email.com","Ellie Cook","283","Goal for student 10: Improve academic performance and social skills","Notes for student 10: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-10-10","2027-10-10","2024-10-10","Requires medication monitoring","20/20","Normal","Advanced","Advanced","SLD","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
