Name,Email,Role,Provider,AeriesID
"Casey Chair","casey.chair@school.org","sped_chair","","100000"
"Speech-Language Therapy Provider","slp@school.org","service_provider","SLP","100001"
"Occupational Therapy Provider","ot@school.org","service_provider","OT","100002"
"Physical Therapy Provider","pt@school.org","service_provider","PT","100003"
"School Counseling Provider","sc@school.org","service_provider","SC","100004"
"School-Based Mental Health Services Provider","mh@school.org","service_provider","MH","100005"
"Transportation Provider","tr@school.org","service_provider","TR","100006"
"Audiology Services Provider","aud@school.org","service_provider","AUD","100007"
"Vision Services Provider","vi@school.org","service_provider","VI","100008"
"Assistive Technology Provider","at@school.org","service_provider","AT","100009"
"Deaf and Hard of Hearing Services Provider","dhh@school.org","service_provider","DHH","100010"
"Orientation & Mobility Provider","o&m@school.org","service_provider","O&M","100011"
"Behavior Intervention Services Provider","bis@school.org","service_provider","BIS","100012"
"Health/Nursing Provider","hn@school.org","service_provider","HN","100013"
"Social Work Provider","sw@school.org","service_provider","SW","100014"
"Aide 1","aide1@school.org","paraeducator","","100015"
"Aide 2","aide2@school.org","paraeducator","","100016"
"Aide 3","aide3@school.org","paraeducator","","100017"
"Aide 4","aide4@school.org","paraeducator","","100018"
"Aide 5","aide5@school.org","paraeducator","","100019"
"Aide 6","aide6@school.org","paraeducator","","100020"
"Aide 7","aide7@school.org","paraeducator","","100021"
"Aide 8","aide8@school.org","paraeducator","","100022"
"Aide 9","aide9@school.org","paraeducator","","100023"
"Aide 10","aide10@school.org","paraeducator","","100024"
"Admin 1","admin1@school.org","admin","","100025"
"Admin 2","admin2@school.org","admin","","100026"
"Admin 3","admin3@school.org","admin","","100027"
"Admin 4","admin4@school.org","admin","","100028"
"Admin 5","admin5@school.org","admin","","100029"
"Admin 6","admin6@school.org","admin","","100030"
"Teacher 1","teacher1@school.org","teacher","","100031"
"Teacher 2","teacher2@school.org","teacher","","100032"
"Teacher 3","teacher3@school.org","teacher","","100033"
"Teacher 4","teacher4@school.org","teacher","","100034"
"Teacher 5","teacher5@school.org","teacher","","100035"
"Teacher 6","teacher6@school.org","teacher","","100036"
"Teacher 7","teacher7@school.org","teacher","","100037"
"Teacher 8","teacher8@school.org","teacher","","100038"
"Teacher 9","teacher9@school.org","teacher","","100039"
"Teacher 10","teacher10@school.org","teacher","","100040"
"Teacher 11","teacher11@school.org","teacher","","100041"
"Teacher 12","teacher12@school.org","teacher","","100042"
"Teacher 13","teacher13@school.org","teacher","","100043"
"Teacher 14","teacher14@school.org","teacher","","100044"
"Teacher 15","teacher15@school.org","teacher","","100045"
"Teacher 16","teacher16@school.org","teacher","","100046"
"Teacher 17","teacher17@school.org","teacher","","100047"
"Teacher 18","teacher18@school.org","teacher","","100048"
"Teacher 19","teacher19@school.org","teacher","","100049"
"Teacher 20","teacher20@school.org","teacher","","100050"
"Teacher 21","teacher21@school.org","teacher","","100051"
"Teacher 22","teacher22@school.org","teacher","","100052"
"Teacher 23","teacher23@school.org","teacher","","100053"
"Teacher 24","teacher24@school.org","teacher","","100054"
"Teacher 25","teacher25@school.org","teacher","","100055"
"Teacher 26","teacher26@school.org","teacher","","100056"
"Teacher 27","teacher27@school.org","teacher","","100057"
"Teacher 28","teacher28@school.org","teacher","","100058"
"Teacher 29","teacher29@school.org","teacher","","100059"
"Teacher 30","teacher30@school.org","teacher","","100060"
"Teacher 31","teacher31@school.org","teacher","","100061"
"Teacher 32","teacher32@school.org","teacher","","100062"
"Teacher 33","teacher33@school.org","teacher","","100063"
"Teacher 34","teacher34@school.org","teacher","","100064"
"Teacher 35","teacher35@school.org","teacher","","100065"
"Teacher 36","teacher36@school.org","teacher","","100066"
"Teacher 37","teacher37@school.org","teacher","","100067"
"Teacher 38","teacher38@school.org","teacher","","100068"
"Teacher 39","teacher39@school.org","teacher","","100069"
"Teacher 40","teacher40@school.org","teacher","","100070"
"Teacher 41","teacher41@school.org","teacher","","100071"
"Teacher 42","teacher42@school.org","teacher","","100072"
"Teacher 43","teacher43@school.org","teacher","","100073"
"Teacher 44","teacher44@school.org","teacher","","100074"
"Teacher 45","teacher45@school.org","teacher","","100075"
